state,sa4,age,sex,atsi,education,lfs,count,areasqkm_2016,population,density
New South Wales,Capital Region,35-39 years,Female,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Unemployed, any",139,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,35-39 years,Female,Not stated,Degree-level or higher,"Employed, any",14,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,35-39 years,Female,Not stated,Degree-level or higher,"Unemployed, any",0,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,35-39 years,Female,Not stated,Lower than degree-level or NA/NS/SC,"Employed, any",19,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,35-39 years,Female,Not stated,Lower than degree-level or NA/NS/SC,"Unemployed, any",0,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,40-44 years,Male,ATSI (any),Degree-level or higher,"Employed, any",14,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,40-44 years,Male,ATSI (any),Degree-level or higher,"Unemployed, any",0,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,40-44 years,Male,ATSI (any),Lower than degree-level or NA/NS/SC,"Employed, any",120,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,40-44 years,Male,ATSI (any),Lower than degree-level or NA/NS/SC,"Unemployed, any",17,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,40-44 years,Male,Non-Indigenous,Degree-level or higher,"Employed, any",1221,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,40-44 years,Male,Non-Indigenous,Degree-level or higher,"Unemployed, any",17,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,40-44 years,Male,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Employed, any",4063,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,40-44 years,Male,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Unemployed, any",170,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,40-44 years,Male,Not stated,Degree-level or higher,"Employed, any",3,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,40-44 years,Male,Not stated,Degree-level or higher,"Unemployed, any",0,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,40-44 years,Male,Not stated,Lower than degree-level or NA/NS/SC,"Employed, any",40,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,40-44 years,Male,Not stated,Lower than degree-level or NA/NS/SC,"Unemployed, any",3,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,40-44 years,Female,ATSI (any),Degree-level or higher,"Employed, any",30,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,40-44 years,Female,ATSI (any),Degree-level or higher,"Unemployed, any",0,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,40-44 years,Female,ATSI (any),Lower than degree-level or NA/NS/SC,"Employed, any",100,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,40-44 years,Female,ATSI (any),Lower than degree-level or NA/NS/SC,"Unemployed, any",15,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,40-44 years,Female,Non-Indigenous,Degree-level or higher,"Employed, any",1746,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,40-44 years,Female,Non-Indigenous,Degree-level or higher,"Unemployed, any",29,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,40-44 years,Female,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Employed, any",3339,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,40-44 years,Female,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Unemployed, any",153,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,40-44 years,Female,Not stated,Degree-level or higher,"Employed, any",19,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,40-44 years,Female,Not stated,Degree-level or higher,"Unemployed, any",0,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,40-44 years,Female,Not stated,Lower than degree-level or NA/NS/SC,"Employed, any",34,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,40-44 years,Female,Not stated,Lower than degree-level or NA/NS/SC,"Unemployed, any",0,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,45-49 years,Male,ATSI (any),Degree-level or higher,"Employed, any",15,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,45-49 years,Male,ATSI (any),Degree-level or higher,"Unemployed, any",0,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,45-49 years,Male,ATSI (any),Lower than degree-level or NA/NS/SC,"Employed, any",108,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,45-49 years,Male,ATSI (any),Lower than degree-level or NA/NS/SC,"Unemployed, any",15,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,45-49 years,Male,Non-Indigenous,Degree-level or higher,"Employed, any",1187,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,45-49 years,Male,Non-Indigenous,Degree-level or higher,"Unemployed, any",22,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,45-49 years,Male,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Employed, any",4443,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,45-49 years,Male,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Unemployed, any",171,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,45-49 years,Male,Not stated,Degree-level or higher,"Employed, any",10,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,45-49 years,Male,Not stated,Degree-level or higher,"Unemployed, any",0,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,45-49 years,Male,Not stated,Lower than degree-level or NA/NS/SC,"Employed, any",30,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,45-49 years,Male,Not stated,Lower than degree-level or NA/NS/SC,"Unemployed, any",4,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,45-49 years,Female,ATSI (any),Degree-level or higher,"Employed, any",22,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,45-49 years,Female,ATSI (any),Degree-level or higher,"Unemployed, any",5,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,45-49 years,Female,ATSI (any),Lower than degree-level or NA/NS/SC,"Employed, any",104,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,45-49 years,Female,ATSI (any),Lower than degree-level or NA/NS/SC,"Unemployed, any",13,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,45-49 years,Female,Non-Indigenous,Degree-level or higher,"Employed, any",1744,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,45-49 years,Female,Non-Indigenous,Degree-level or higher,"Unemployed, any",26,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,45-49 years,Female,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Employed, any",4148,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,45-49 years,Female,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Unemployed, any",143,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,45-49 years,Female,Not stated,Degree-level or higher,"Employed, any",12,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,45-49 years,Female,Not stated,Degree-level or higher,"Unemployed, any",0,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,45-49 years,Female,Not stated,Lower than degree-level or NA/NS/SC,"Employed, any",25,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,45-49 years,Female,Not stated,Lower than degree-level or NA/NS/SC,"Unemployed, any",0,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,50-54 years,Male,ATSI (any),Degree-level or higher,"Employed, any",10,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,50-54 years,Male,ATSI (any),Degree-level or higher,"Unemployed, any",0,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,50-54 years,Male,ATSI (any),Lower than degree-level or NA/NS/SC,"Employed, any",95,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,50-54 years,Male,ATSI (any),Lower than degree-level or NA/NS/SC,"Unemployed, any",9,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,50-54 years,Male,Non-Indigenous,Degree-level or higher,"Employed, any",1112,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,50-54 years,Male,Non-Indigenous,Degree-level or higher,"Unemployed, any",25,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,50-54 years,Male,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Employed, any",4789,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,50-54 years,Male,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Unemployed, any",203,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,50-54 years,Male,Not stated,Degree-level or higher,"Employed, any",0,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,50-54 years,Male,Not stated,Degree-level or higher,"Unemployed, any",0,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,50-54 years,Male,Not stated,Lower than degree-level or NA/NS/SC,"Employed, any",49,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,50-54 years,Male,Not stated,Lower than degree-level or NA/NS/SC,"Unemployed, any",6,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,50-54 years,Female,ATSI (any),Degree-level or higher,"Employed, any",18,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,50-54 years,Female,ATSI (any),Degree-level or higher,"Unemployed, any",0,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,50-54 years,Female,ATSI (any),Lower than degree-level or NA/NS/SC,"Employed, any",91,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,50-54 years,Female,ATSI (any),Lower than degree-level or NA/NS/SC,"Unemployed, any",12,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,50-54 years,Female,Non-Indigenous,Degree-level or higher,"Employed, any",1438,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,50-54 years,Female,Non-Indigenous,Degree-level or higher,"Unemployed, any",35,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,50-54 years,Female,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Employed, any",4320,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,50-54 years,Female,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Unemployed, any",144,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,50-54 years,Female,Not stated,Degree-level or higher,"Employed, any",11,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,50-54 years,Female,Not stated,Degree-level or higher,"Unemployed, any",0,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,50-54 years,Female,Not stated,Lower than degree-level or NA/NS/SC,"Employed, any",39,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,50-54 years,Female,Not stated,Lower than degree-level or NA/NS/SC,"Unemployed, any",3,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,55-59 years,Male,ATSI (any),Degree-level or higher,"Employed, any",10,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,55-59 years,Male,ATSI (any),Degree-level or higher,"Unemployed, any",0,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,55-59 years,Male,ATSI (any),Lower than degree-level or NA/NS/SC,"Employed, any",62,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,55-59 years,Male,ATSI (any),Lower than degree-level or NA/NS/SC,"Unemployed, any",4,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,55-59 years,Male,Non-Indigenous,Degree-level or higher,"Employed, any",996,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,55-59 years,Male,Non-Indigenous,Degree-level or higher,"Unemployed, any",33,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,55-59 years,Male,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Employed, any",4529,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,55-59 years,Male,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Unemployed, any",205,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,55-59 years,Male,Not stated,Degree-level or higher,"Employed, any",7,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,55-59 years,Male,Not stated,Degree-level or higher,"Unemployed, any",0,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,55-59 years,Male,Not stated,Lower than degree-level or NA/NS/SC,"Employed, any",46,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,55-59 years,Male,Not stated,Lower than degree-level or NA/NS/SC,"Unemployed, any",4,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,55-59 years,Female,ATSI (any),Degree-level or higher,"Employed, any",23,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,55-59 years,Female,ATSI (any),Degree-level or higher,"Unemployed, any",0,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,55-59 years,Female,ATSI (any),Lower than degree-level or NA/NS/SC,"Employed, any",69,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,55-59 years,Female,ATSI (any),Lower than degree-level or NA/NS/SC,"Unemployed, any",0,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,55-59 years,Female,Non-Indigenous,Degree-level or higher,"Employed, any",1347,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,55-59 years,Female,Non-Indigenous,Degree-level or higher,"Unemployed, any",30,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,55-59 years,Female,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Employed, any",3767,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,55-59 years,Female,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Unemployed, any",149,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,55-59 years,Female,Not stated,Degree-level or higher,"Employed, any",3,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,55-59 years,Female,Not stated,Degree-level or higher,"Unemployed, any",0,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,55-59 years,Female,Not stated,Lower than degree-level or NA/NS/SC,"Employed, any",17,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,55-59 years,Female,Not stated,Lower than degree-level or NA/NS/SC,"Unemployed, any",0,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,60-64 years,Male,ATSI (any),Degree-level or higher,"Employed, any",3,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,60-64 years,Male,ATSI (any),Degree-level or higher,"Unemployed, any",0,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,60-64 years,Male,ATSI (any),Lower than degree-level or NA/NS/SC,"Employed, any",44,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,60-64 years,Male,ATSI (any),Lower than degree-level or NA/NS/SC,"Unemployed, any",10,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,60-64 years,Male,Non-Indigenous,Degree-level or higher,"Employed, any",765,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,60-64 years,Male,Non-Indigenous,Degree-level or higher,"Unemployed, any",38,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,60-64 years,Male,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Employed, any",3209,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,60-64 years,Male,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Unemployed, any",206,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,60-64 years,Male,Not stated,Degree-level or higher,"Employed, any",7,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,60-64 years,Male,Not stated,Degree-level or higher,"Unemployed, any",0,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,60-64 years,Male,Not stated,Lower than degree-level or NA/NS/SC,"Employed, any",31,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,60-64 years,Male,Not stated,Lower than degree-level or NA/NS/SC,"Unemployed, any",4,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,60-64 years,Female,ATSI (any),Degree-level or higher,"Employed, any",9,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,60-64 years,Female,ATSI (any),Degree-level or higher,"Unemployed, any",0,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,60-64 years,Female,ATSI (any),Lower than degree-level or NA/NS/SC,"Employed, any",45,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,60-64 years,Female,ATSI (any),Lower than degree-level or NA/NS/SC,"Unemployed, any",10,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,60-64 years,Female,Non-Indigenous,Degree-level or higher,"Employed, any",871,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,60-64 years,Female,Non-Indigenous,Degree-level or higher,"Unemployed, any",32,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,60-64 years,Female,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Employed, any",2513,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,60-64 years,Female,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Unemployed, any",109,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,60-64 years,Female,Not stated,Degree-level or higher,"Employed, any",4,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,60-64 years,Female,Not stated,Degree-level or higher,"Unemployed, any",0,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,60-64 years,Female,Not stated,Lower than degree-level or NA/NS/SC,"Employed, any",25,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,60-64 years,Female,Not stated,Lower than degree-level or NA/NS/SC,"Unemployed, any",0,51895.5631,218842,4.216969369391041
New South Wales,Central Coast,25-29 years,Male,ATSI (any),Degree-level or higher,"Employed, any",16,1681.0724,327736,194.95650514516805
New South Wales,Central Coast,25-29 years,Male,ATSI (any),Degree-level or higher,"Unemployed, any",0,1681.0724,327736,194.95650514516805
New South Wales,Central Coast,25-29 years,Male,ATSI (any),Lower than degree-level or NA/NS/SC,"Employed, any",288,1681.0724,327736,194.95650514516805
New South Wales,Central Coast,25-29 years,Male,ATSI (any),Lower than degree-level or NA/NS/SC,"Unemployed, any",43,1681.0724,327736,194.95650514516805
New South Wales,Central Coast,25-29 years,Male,Non-Indigenous,Degree-level or higher,"Employed, any",1041,1681.0724,327736,194.95650514516805
New South Wales,Central Coast,25-29 years,Male,Non-Indigenous,Degree-level or higher,"Unemployed, any",49,1681.0724,327736,194.95650514516805
New South Wales,Central Coast,25-29 years,Male,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Employed, any",5329,1681.0724,327736,194.95650514516805
New South Wales,Central Coast,25-29 years,Male,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Unemployed, any",429,1681.0724,327736,194.95650514516805
New South Wales,Central Coast,25-29 years,Male,Not stated,Degree-level or higher,"Employed, any",4,1681.0724,327736,194.95650514516805
New South Wales,Central Coast,25-29 years,Male,Not stated,Degree-level or higher,"Unemployed, any",0,1681.0724,327736,194.95650514516805
