Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"SA4 (UR), AGE5P - Age in Five Year Groups, SEXP Sex, INGP Indigenous Status, HEAP Level of Highest Educational Attainment and LFSP Labour Force Status"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

"Counting","SA4 (UR)","AGE5P - Age in Five Year Groups","SEXP Sex","INGP Indigenous Status","HEAP Level of Highest Educational Attainment","LFSP Labour Force Status","Count",
"Persons Aged 15 Years and Over Place of Work","Capital Region","25-29 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",153
"Persons Aged 15 Years and Over Place of Work","Capital Region","25-29 years","Female","Not stated","Degree-level or higher","Employed, any",5
"Persons Aged 15 Years and Over Place of Work","Capital Region","25-29 years","Female","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Capital Region","25-29 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",19
"Persons Aged 15 Years and Over Place of Work","Capital Region","25-29 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Capital Region","30-34 years","Male","ATSI (any)","Degree-level or higher","Employed, any",8
"Persons Aged 15 Years and Over Place of Work","Capital Region","30-34 years","Male","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Capital Region","30-34 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",107
"Persons Aged 15 Years and Over Place of Work","Capital Region","30-34 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",19
"Persons Aged 15 Years and Over Place of Work","Capital Region","30-34 years","Male","Non-Indigenous","Degree-level or higher","Employed, any",898
"Persons Aged 15 Years and Over Place of Work","Capital Region","30-34 years","Male","Non-Indigenous","Degree-level or higher","Unemployed, any",25
"Persons Aged 15 Years and Over Place of Work","Capital Region","30-34 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",3447
"Persons Aged 15 Years and Over Place of Work","Capital Region","30-34 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",165
"Persons Aged 15 Years and Over Place of Work","Capital Region","30-34 years","Male","Not stated","Degree-level or higher","Employed, any",3
"Persons Aged 15 Years and Over Place of Work","Capital Region","30-34 years","Male","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Capital Region","30-34 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",35
"Persons Aged 15 Years and Over Place of Work","Capital Region","30-34 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",6
"Persons Aged 15 Years and Over Place of Work","Capital Region","30-34 years","Female","ATSI (any)","Degree-level or higher","Employed, any",20
"Persons Aged 15 Years and Over Place of Work","Capital Region","30-34 years","Female","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Capital Region","30-34 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",105
"Persons Aged 15 Years and Over Place of Work","Capital Region","30-34 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",14
"Persons Aged 15 Years and Over Place of Work","Capital Region","30-34 years","Female","Non-Indigenous","Degree-level or higher","Employed, any",1442
"Persons Aged 15 Years and Over Place of Work","Capital Region","30-34 years","Female","Non-Indigenous","Degree-level or higher","Unemployed, any",47
"Persons Aged 15 Years and Over Place of Work","Capital Region","30-34 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",2511
"Persons Aged 15 Years and Over Place of Work","Capital Region","30-34 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",144
"Persons Aged 15 Years and Over Place of Work","Capital Region","30-34 years","Female","Not stated","Degree-level or higher","Employed, any",8
"Persons Aged 15 Years and Over Place of Work","Capital Region","30-34 years","Female","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Capital Region","30-34 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",18
"Persons Aged 15 Years and Over Place of Work","Capital Region","30-34 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Capital Region","35-39 years","Male","ATSI (any)","Degree-level or higher","Employed, any",8
"Persons Aged 15 Years and Over Place of Work","Capital Region","35-39 years","Male","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Capital Region","35-39 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",100
"Persons Aged 15 Years and Over Place of Work","Capital Region","35-39 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",20
"Persons Aged 15 Years and Over Place of Work","Capital Region","35-39 years","Male","Non-Indigenous","Degree-level or higher","Employed, any",900
"Persons Aged 15 Years and Over Place of Work","Capital Region","35-39 years","Male","Non-Indigenous","Degree-level or higher","Unemployed, any",23
"Persons Aged 15 Years and Over Place of Work","Capital Region","35-39 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",3363
"Persons Aged 15 Years and Over Place of Work","Capital Region","35-39 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",141
"Persons Aged 15 Years and Over Place of Work","Capital Region","35-39 years","Male","Not stated","Degree-level or higher","Employed, any",10
"Persons Aged 15 Years and Over Place of Work","Capital Region","35-39 years","Male","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Capital Region","35-39 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",20
"Persons Aged 15 Years and Over Place of Work","Capital Region","35-39 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Capital Region","35-39 years","Female","ATSI (any)","Degree-level or higher","Employed, any",18
"Persons Aged 15 Years and Over Place of Work","Capital Region","35-39 years","Female","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Capital Region","35-39 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",84
"Persons Aged 15 Years and Over Place of Work","Capital Region","35-39 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",15
"Persons Aged 15 Years and Over Place of Work","Capital Region","35-39 years","Female","Non-Indigenous","Degree-level or higher","Employed, any",1579
"Persons Aged 15 Years and Over Place of Work","Capital Region","35-39 years","Female","Non-Indigenous","Degree-level or higher","Unemployed, any",30
"Persons Aged 15 Years and Over Place of Work","Capital Region","35-39 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",2653
"Persons Aged 15 Years and Over Place of Work","Capital Region","35-39 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",139
"Persons Aged 15 Years and Over Place of Work","Capital Region","35-39 years","Female","Not stated","Degree-level or higher","Employed, any",14
"Persons Aged 15 Years and Over Place of Work","Capital Region","35-39 years","Female","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Capital Region","35-39 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",19
"Persons Aged 15 Years and Over Place of Work","Capital Region","35-39 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Capital Region","40-44 years","Male","ATSI (any)","Degree-level or higher","Employed, any",14
"Persons Aged 15 Years and Over Place of Work","Capital Region","40-44 years","Male","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Capital Region","40-44 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",120
"Persons Aged 15 Years and Over Place of Work","Capital Region","40-44 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",17
"Persons Aged 15 Years and Over Place of Work","Capital Region","40-44 years","Male","Non-Indigenous","Degree-level or higher","Employed, any",1221
"Persons Aged 15 Years and Over Place of Work","Capital Region","40-44 years","Male","Non-Indigenous","Degree-level or higher","Unemployed, any",17
"Persons Aged 15 Years and Over Place of Work","Capital Region","40-44 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",4063
"Persons Aged 15 Years and Over Place of Work","Capital Region","40-44 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",170
"Persons Aged 15 Years and Over Place of Work","Capital Region","40-44 years","Male","Not stated","Degree-level or higher","Employed, any",3
"Persons Aged 15 Years and Over Place of Work","Capital Region","40-44 years","Male","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Capital Region","40-44 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",40
"Persons Aged 15 Years and Over Place of Work","Capital Region","40-44 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",3
"Persons Aged 15 Years and Over Place of Work","Capital Region","40-44 years","Female","ATSI (any)","Degree-level or higher","Employed, any",30
"Persons Aged 15 Years and Over Place of Work","Capital Region","40-44 years","Female","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Capital Region","40-44 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",100
"Persons Aged 15 Years and Over Place of Work","Capital Region","40-44 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",15
"Persons Aged 15 Years and Over Place of Work","Capital Region","40-44 years","Female","Non-Indigenous","Degree-level or higher","Employed, any",1746
"Persons Aged 15 Years and Over Place of Work","Capital Region","40-44 years","Female","Non-Indigenous","Degree-level or higher","Unemployed, any",29
"Persons Aged 15 Years and Over Place of Work","Capital Region","40-44 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",3339
"Persons Aged 15 Years and Over Place of Work","Capital Region","40-44 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",153
"Persons Aged 15 Years and Over Place of Work","Capital Region","40-44 years","Female","Not stated","Degree-level or higher","Employed, any",19
"Persons Aged 15 Years and Over Place of Work","Capital Region","40-44 years","Female","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Capital Region","40-44 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",34
"Persons Aged 15 Years and Over Place of Work","Capital Region","40-44 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Capital Region","45-49 years","Male","ATSI (any)","Degree-level or higher","Employed, any",15
"Persons Aged 15 Years and Over Place of Work","Capital Region","45-49 years","Male","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Capital Region","45-49 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",108
"Persons Aged 15 Years and Over Place of Work","Capital Region","45-49 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",15
"Persons Aged 15 Years and Over Place of Work","Capital Region","45-49 years","Male","Non-Indigenous","Degree-level or higher","Employed, any",1187
"Persons Aged 15 Years and Over Place of Work","Capital Region","45-49 years","Male","Non-Indigenous","Degree-level or higher","Unemployed, any",22
"Persons Aged 15 Years and Over Place of Work","Capital Region","45-49 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",4443
"Persons Aged 15 Years and Over Place of Work","Capital Region","45-49 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",171
"Persons Aged 15 Years and Over Place of Work","Capital Region","45-49 years","Male","Not stated","Degree-level or higher","Employed, any",10
"Persons Aged 15 Years and Over Place of Work","Capital Region","45-49 years","Male","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Capital Region","45-49 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",30
"Persons Aged 15 Years and Over Place of Work","Capital Region","45-49 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",4
"Persons Aged 15 Years and Over Place of Work","Capital Region","45-49 years","Female","ATSI (any)","Degree-level or higher","Employed, any",22
"Persons Aged 15 Years and Over Place of Work","Capital Region","45-49 years","Female","ATSI (any)","Degree-level or higher","Unemployed, any",5
"Persons Aged 15 Years and Over Place of Work","Capital Region","45-49 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",104
"Persons Aged 15 Years and Over Place of Work","Capital Region","45-49 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",13
"Persons Aged 15 Years and Over Place of Work","Capital Region","45-49 years","Female","Non-Indigenous","Degree-level or higher","Employed, any",1744
"Persons Aged 15 Years and Over Place of Work","Capital Region","45-49 years","Female","Non-Indigenous","Degree-level or higher","Unemployed, any",26
"Persons Aged 15 Years and Over Place of Work","Capital Region","45-49 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",4148
"Persons Aged 15 Years and Over Place of Work","Capital Region","45-49 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",143
"Persons Aged 15 Years and Over Place of Work","Capital Region","45-49 years","Female","Not stated","Degree-level or higher","Employed, any",12
"Persons Aged 15 Years and Over Place of Work","Capital Region","45-49 years","Female","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Capital Region","45-49 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",25
"Persons Aged 15 Years and Over Place of Work","Capital Region","45-49 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Capital Region","50-54 years","Male","ATSI (any)","Degree-level or higher","Employed, any",10
"Persons Aged 15 Years and Over Place of Work","Capital Region","50-54 years","Male","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Capital Region","50-54 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",95
"Persons Aged 15 Years and Over Place of Work","Capital Region","50-54 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",9
"Persons Aged 15 Years and Over Place of Work","Capital Region","50-54 years","Male","Non-Indigenous","Degree-level or higher","Employed, any",1112
"Persons Aged 15 Years and Over Place of Work","Capital Region","50-54 years","Male","Non-Indigenous","Degree-level or higher","Unemployed, any",25
"Persons Aged 15 Years and Over Place of Work","Capital Region","50-54 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",4789
"Persons Aged 15 Years and Over Place of Work","Capital Region","50-54 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",203
"Persons Aged 15 Years and Over Place of Work","Capital Region","50-54 years","Male","Not stated","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Capital Region","50-54 years","Male","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Capital Region","50-54 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",49
"Persons Aged 15 Years and Over Place of Work","Capital Region","50-54 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",6
"Persons Aged 15 Years and Over Place of Work","Capital Region","50-54 years","Female","ATSI (any)","Degree-level or higher","Employed, any",18
"Persons Aged 15 Years and Over Place of Work","Capital Region","50-54 years","Female","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Capital Region","50-54 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",91
"Persons Aged 15 Years and Over Place of Work","Capital Region","50-54 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",12
"Persons Aged 15 Years and Over Place of Work","Capital Region","50-54 years","Female","Non-Indigenous","Degree-level or higher","Employed, any",1438
"Persons Aged 15 Years and Over Place of Work","Capital Region","50-54 years","Female","Non-Indigenous","Degree-level or higher","Unemployed, any",35
"Persons Aged 15 Years and Over Place of Work","Capital Region","50-54 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",4320
"Persons Aged 15 Years and Over Place of Work","Capital Region","50-54 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",144
"Persons Aged 15 Years and Over Place of Work","Capital Region","50-54 years","Female","Not stated","Degree-level or higher","Employed, any",11
"Persons Aged 15 Years and Over Place of Work","Capital Region","50-54 years","Female","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Capital Region","50-54 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",39
"Persons Aged 15 Years and Over Place of Work","Capital Region","50-54 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",3
"Persons Aged 15 Years and Over Place of Work","Capital Region","55-59 years","Male","ATSI (any)","Degree-level or higher","Employed, any",10
"Persons Aged 15 Years and Over Place of Work","Capital Region","55-59 years","Male","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Capital Region","55-59 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",62
"Persons Aged 15 Years and Over Place of Work","Capital Region","55-59 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",4
"Persons Aged 15 Years and Over Place of Work","Capital Region","55-59 years","Male","Non-Indigenous","Degree-level or higher","Employed, any",996
"Persons Aged 15 Years and Over Place of Work","Capital Region","55-59 years","Male","Non-Indigenous","Degree-level or higher","Unemployed, any",33
"Persons Aged 15 Years and Over Place of Work","Capital Region","55-59 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",4529
"Persons Aged 15 Years and Over Place of Work","Capital Region","55-59 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",205
"Persons Aged 15 Years and Over Place of Work","Capital Region","55-59 years","Male","Not stated","Degree-level or higher","Employed, any",7
"Persons Aged 15 Years and Over Place of Work","Capital Region","55-59 years","Male","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Capital Region","55-59 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",46
"Persons Aged 15 Years and Over Place of Work","Capital Region","55-59 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",4
"Persons Aged 15 Years and Over Place of Work","Capital Region","55-59 years","Female","ATSI (any)","Degree-level or higher","Employed, any",23
"Persons Aged 15 Years and Over Place of Work","Capital Region","55-59 years","Female","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Capital Region","55-59 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",69
"Persons Aged 15 Years and Over Place of Work","Capital Region","55-59 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Capital Region","55-59 years","Female","Non-Indigenous","Degree-level or higher","Employed, any",1347
"Persons Aged 15 Years and Over Place of Work","Capital Region","55-59 years","Female","Non-Indigenous","Degree-level or higher","Unemployed, any",30
"Persons Aged 15 Years and Over Place of Work","Capital Region","55-59 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",3767
"Persons Aged 15 Years and Over Place of Work","Capital Region","55-59 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",149
"Persons Aged 15 Years and Over Place of Work","Capital Region","55-59 years","Female","Not stated","Degree-level or higher","Employed, any",3
"Persons Aged 15 Years and Over Place of Work","Capital Region","55-59 years","Female","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Capital Region","55-59 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",17
"Persons Aged 15 Years and Over Place of Work","Capital Region","55-59 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Capital Region","60-64 years","Male","ATSI (any)","Degree-level or higher","Employed, any",3
"Persons Aged 15 Years and Over Place of Work","Capital Region","60-64 years","Male","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Capital Region","60-64 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",44
"Persons Aged 15 Years and Over Place of Work","Capital Region","60-64 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",10
"Persons Aged 15 Years and Over Place of Work","Capital Region","60-64 years","Male","Non-Indigenous","Degree-level or higher","Employed, any",765
"Persons Aged 15 Years and Over Place of Work","Capital Region","60-64 years","Male","Non-Indigenous","Degree-level or higher","Unemployed, any",38
"Persons Aged 15 Years and Over Place of Work","Capital Region","60-64 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",3209
"Persons Aged 15 Years and Over Place of Work","Capital Region","60-64 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",206
"Persons Aged 15 Years and Over Place of Work","Capital Region","60-64 years","Male","Not stated","Degree-level or higher","Employed, any",7
"Persons Aged 15 Years and Over Place of Work","Capital Region","60-64 years","Male","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Capital Region","60-64 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",31
"Persons Aged 15 Years and Over Place of Work","Capital Region","60-64 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",4
"Persons Aged 15 Years and Over Place of Work","Capital Region","60-64 years","Female","ATSI (any)","Degree-level or higher","Employed, any",9
"Persons Aged 15 Years and Over Place of Work","Capital Region","60-64 years","Female","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Capital Region","60-64 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",45
"Persons Aged 15 Years and Over Place of Work","Capital Region","60-64 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",10
"Persons Aged 15 Years and Over Place of Work","Capital Region","60-64 years","Female","Non-Indigenous","Degree-level or higher","Employed, any",871
"Persons Aged 15 Years and Over Place of Work","Capital Region","60-64 years","Female","Non-Indigenous","Degree-level or higher","Unemployed, any",32
"Persons Aged 15 Years and Over Place of Work","Capital Region","60-64 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",2513
"Persons Aged 15 Years and Over Place of Work","Capital Region","60-64 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",109
"Persons Aged 15 Years and Over Place of Work","Capital Region","60-64 years","Female","Not stated","Degree-level or higher","Employed, any",4
"Persons Aged 15 Years and Over Place of Work","Capital Region","60-64 years","Female","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Capital Region","60-64 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",25
"Persons Aged 15 Years and Over Place of Work","Capital Region","60-64 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Central Coast","25-29 years","Male","ATSI (any)","Degree-level or higher","Employed, any",16
"Persons Aged 15 Years and Over Place of Work","Central Coast","25-29 years","Male","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Central Coast","25-29 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",288
"Persons Aged 15 Years and Over Place of Work","Central Coast","25-29 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",43
"Persons Aged 15 Years and Over Place of Work","Central Coast","25-29 years","Male","Non-Indigenous","Degree-level or higher","Employed, any",1041
"Persons Aged 15 Years and Over Place of Work","Central Coast","25-29 years","Male","Non-Indigenous","Degree-level or higher","Unemployed, any",49
"Persons Aged 15 Years and Over Place of Work","Central Coast","25-29 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",5329
"Persons Aged 15 Years and Over Place of Work","Central Coast","25-29 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",429
"Persons Aged 15 Years and Over Place of Work","Central Coast","25-29 years","Male","Not stated","Degree-level or higher","Employed, any",4
"Persons Aged 15 Years and Over Place of Work","Central Coast","25-29 years","Male","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Central Coast","25-29 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",33
"Persons Aged 15 Years and Over Place of Work","Central Coast","25-29 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",6
